"Supercluster"	"Number of reads"	"Automatic_annotation"	"Similarity_hits"	"TAREAN_annotation"	"Clusters"
49	5688	"NA"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 2     | 0.00035    |              
 '--repeat                                      | 2     | 0.00035    |              
     '--mobile_element                          | 2     | 0.00035    |              
         '--Class_I                             | 2     | 0.00035    |              
             '--LINE                            | 2     | 0.00035    | 2 (LINE-RH), "	NA	"106"
50	4964	"NA"	"                                                | nhits | proportion |                    features
--------------------------------------------------------------------------------------------------
All                                             | 54    | 0.011      |                            
 |--organelle                                   | 1     | 2e-04      |                            
 |   '--mitochondria                            | 1     | 2e-04      |                            
 '--repeat                                      | 53    | 0.011      |                            
     '--mobile_element                          | 53    | 0.011      |                            
         '--Class_I                             | 53    | 0.011      |                            
             '--LTR                             | 53    | 0.011      |                            
                 '--Ty1_copia                   | 53    | 0.011      |                            
                     '--Angela                  | 53    | 0.011      | 3 (Ty1-GAG), 50 (Ty1-INT), "	NA	"117"
51	4791	"Retand"	"                                                | nhits | proportion |                                      features
--------------------------------------------------------------------------------------------------------------------
All                                             | 1766  | 0.37       |                                              
 '--repeat                                      | 1766  | 0.37       |                                              
     '--mobile_element                          | 1766  | 0.37       |                                              
         '--Class_I                             | 1766  | 0.37       |                                              
             '--LTR                             | 1766  | 0.37       |                                              
                 '--Ty3_gypsy                   | 1766  | 0.37       |                                              
                     '--non-chromovirus         | 1766  | 0.37       |                                              
                         '--OTA                 | 1766  | 0.37       |                                              
                             '--Tat             | 1766  | 0.37       |                                              
                                 |--TatII       | 3     | 0.00063    | 3 (Ty3-aRH),                                 
                                 |--Ogre        | 1     | 0.00021    | 1 (Ty3-aRH),                                 
                                 '--Retand      | 1762  | 0.37       | 367 (Ty3-aRH), 1127 (Ty3-INT), 268 (Ty3-RH), "	NA	"118"
52	4656	"NA"	"                                                | nhits | proportion |     features
-----------------------------------------------------------------------------------
All                                             | 1     | 0.00022    |             
 '--repeat                                      | 1     | 0.00022    |             
     '--mobile_element                          | 1     | 0.00022    |             
         '--Class_I                             | 1     | 0.00022    |             
             '--LTR                             | 1     | 0.00022    |             
                 '--Ty1_copia                   | 1     | 0.00022    |             
                     '--Ivana                   | 1     | 0.00022    | 1 (Ty1-RT), "	NA	"120"
53	4611	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 4611  | 1          |         
 '--repeat                                      | 4611  | 1          |         
     '--satellite                               | 4611  | 1          |         "	"121 - Putative satellites (high confidence)"	"121"
54	4543	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"122"
55	4246	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"127"
56	4092	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 4092  | 1          |         
 '--organelle                                   | 4092  | 1          |         
     |--plastid                                 | 4090  | 1          |         
     '--mitochondria                            | 2     | 0.00049    |         "	NA	"131"
57	3834	"LTR"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         
 '--repeat                                      | 0     | 0          |         
     '--mobile_element                          | 0     | 0          |         
         '--Class_I                             | 0     | 0          |         
             '--LTR                             | 0     | 0          | LTR/PBS "	NA	"134"
58	3782	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"136"
59	3749	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 3715  | 0.99       |         
 '--organelle                                   | 3715  | 0.99       |         
     |--plastid                                 | 3701  | 0.99       |         
     '--mitochondria                            | 14    | 0.0037     |         "	NA	"137"
60	3699	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"138"
61	3655	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1     | 0.00027    |         
 '--repeat                                      | 1     | 0.00027    |         
     '--rDNA                                    | 1     | 0.00027    |         
         '--45S_rDNA                            | 1     | 0.00027    |         
             '--25S_rDNA                        | 1     | 0.00027    |         "	NA	"139"
62	3649	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1     | 0.00027    |         
 '--organelle                                   | 1     | 0.00027    |         
     '--plastid                                 | 1     | 0.00027    |         "	NA	"140"
63	3544	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 3544  | 1          |         
 '--organelle                                   | 3544  | 1          |         
     |--plastid                                 | 3541  | 1          |         
     '--mitochondria                            | 3     | 0.00085    |         "	NA	"143"
64	3518	"EnSpm_CACTA"	"                                                | nhits | proportion |            features
------------------------------------------------------------------------------------------
All                                             | 295   | 0.084      |                    
 '--repeat                                      | 295   | 0.084      |                    
     |--rDNA                                    | 12    | 0.0034     |                    
     |   '--5S_rDNA                             | 12    | 0.0034     |                    
     '--mobile_element                          | 283   | 0.08       |                    
         '--Class_II                            | 283   | 0.08       |                    
             '--Subclass_1                      | 283   | 0.08       |                    
                 '--TIR                         | 283   | 0.08       |                    
                     '--EnSpm_CACTA             | 283   | 0.08       | 283 (CACTA-TPase), "	NA	"145"
65	3514	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1657  | 0.47       |         
 '--organelle                                   | 1657  | 0.47       |         
     |--plastid                                 | 1656  | 0.47       |         
     '--mitochondria                            | 1     | 0.00028    |         "	NA	"146"
66	3481	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 3481  | 1          |         
 '--repeat                                      | 3481  | 1          |         
     '--satellite                               | 3481  | 1          |         "	"147 - Putative satellites (high confidence)"	"147"
67	3119	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"152"
68	3042	"Retand"	"                                                | nhits | proportion |        features
--------------------------------------------------------------------------------------
All                                             | 166   | 0.055      |                
 '--repeat                                      | 166   | 0.055      |                
     '--mobile_element                          | 166   | 0.055      |                
         '--Class_I                             | 166   | 0.055      |                
             '--LTR                             | 166   | 0.055      | LTR/PBS        
                 |--Ty1_copia                   | 2     | 0.00066    |                
                 |   '--Ivana                   | 2     | 0.00066    | 2 (Ty1-INT),   
                 '--Ty3_gypsy                   | 164   | 0.054      |                
                     '--non-chromovirus         | 164   | 0.054      |                
                         '--OTA                 | 164   | 0.054      |                
                             |--Athila          | 9     | 0.003      | 9 (Ty3-GAG),   
                             '--Tat             | 155   | 0.051      |                
                                 '--Retand      | 155   | 0.051      | 155 (Ty3-GAG), "	NA	"154"
69	2939	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"155"
70	2932	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"156"
71	2711	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 2708  | 1          |         
 '--organelle                                   | 2708  | 1          |         
     '--plastid                                 | 2708  | 1          |         "	NA	"158"
72	2683	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 2683  | 1          |         
 '--repeat                                      | 2683  | 1          |         
     '--satellite                               | 2683  | 1          |         "	"159 - Putative satellites (high confidence)"	"159"
73	2658	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"160"
74	2649	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1     | 0.00038    |         
 '--organelle                                   | 1     | 0.00038    |         
     '--plastid                                 | 1     | 0.00038    |         "	NA	"161"
75	2523	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 2520  | 1          |         
 '--organelle                                   | 2520  | 1          |         
     |--plastid                                 | 2511  | 1          |         
     '--mitochondria                            | 9     | 0.0036     |         "	NA	"164"
76	2369	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 62    | 0.026      |         
 '--organelle                                   | 62    | 0.026      |         
     '--mitochondria                            | 62    | 0.026      |         "	NA	"167"
77	2001	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"173"
78	1996	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"174"
79	1941	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1939  | 1          |         
 '--organelle                                   | 1939  | 1          |         
     |--plastid                                 | 1936  | 1          |         
     '--mitochondria                            | 3     | 0.0016     |         "	NA	"177"
80	1894	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1894  | 1          |         
 '--repeat                                      | 1894  | 1          |         
     '--satellite                               | 1894  | 1          |         "	"178 - Putative satellites (high confidence)"	"178"
81	1849	"NA"	"                                                | nhits | proportion |       features
-------------------------------------------------------------------------------------
All                                             | 35    | 0.019      |               
 '--repeat                                      | 35    | 0.019      |               
     '--mobile_element                          | 35    | 0.019      |               
         '--Class_I                             | 35    | 0.019      |               
             '--LTR                             | 35    | 0.019      |               
                 '--Ty1_copia                   | 35    | 0.019      |               
                     '--TAR                     | 35    | 0.019      | 35 (Ty1-INT), "	NA	"179"
82	1846	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"181"
83	1702	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1702  | 1          |         
 '--repeat                                      | 1702  | 1          |         
     '--satellite                               | 1702  | 1          |         "	"185 - Putative satellites (high confidence)"	"185"
84	1660	"NA"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 1     | 6e-04      |              
 '--repeat                                      | 1     | 6e-04      |              
     '--mobile_element                          | 1     | 6e-04      |              
         '--Class_I                             | 1     | 6e-04      |              
             '--LTR                             | 1     | 6e-04      |              
                 '--Ty1_copia                   | 1     | 6e-04      |              
                     '--Ale                     | 1     | 6e-04      | 1 (Ty1-INT), "	NA	"269,189"
85	1648	"5S_rDNA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 537   | 0.33       |         
 '--repeat                                      | 537   | 0.33       |         
     '--rDNA                                    | 537   | 0.33       |         
         '--5S_rDNA                             | 537   | 0.33       |         "	NA	"186"
86	1647	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"187"
87	1494	"Tekay"	"                                                | nhits | proportion |                       features
-----------------------------------------------------------------------------------------------------
All                                             | 328   | 0.22       |                               
 '--repeat                                      | 328   | 0.22       |                               
     '--mobile_element                          | 328   | 0.22       |                               
         '--Class_I                             | 328   | 0.22       |                               
             '--LTR                             | 328   | 0.22       |                               
                 '--Ty3_gypsy                   | 328   | 0.22       |                               
                     '--chromovirus             | 328   | 0.22       |                               
                         |--Tekay               | 326   | 0.22       | 259 (Ty3-GAG), 67 (Ty3-PROT), 
                         '--Reina               | 2     | 0.0013     | 2 (Ty3-PROT),                 "	NA	"190"
88	1408	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1408  | 1          |         
 '--organelle                                   | 1408  | 1          |         
     '--plastid                                 | 1408  | 1          |         "	NA	"191"
89	1327	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 44    | 0.033      |         
 '--repeat                                      | 44    | 0.033      |         
     '--rDNA                                    | 44    | 0.033      |         
         '--5S_rDNA                             | 44    | 0.033      |         "	NA	"192"
90	1310	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1     | 0.00076    |         
 '--organelle                                   | 1     | 0.00076    |         
     '--plastid                                 | 1     | 0.00076    |         "	NA	"193"
91	1307	"Angela"	"                                                | nhits | proportion |        features
--------------------------------------------------------------------------------------
All                                             | 100   | 0.076      |                
 '--repeat                                      | 100   | 0.076      |                
     '--mobile_element                          | 100   | 0.076      |                
         '--Class_I                             | 100   | 0.076      |                
             |--LTR                             | 99    | 0.076      |                
             |   '--Ty1_copia                   | 99    | 0.076      |                
             |       '--Angela                  | 99    | 0.076      | 99 (Ty1-RH),   
             '--LINE                            | 1     | 0.00076    | 1 (LINE-ENDO), "	NA	"194"
92	1298	"LTR"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         
 '--repeat                                      | 0     | 0          |         
     '--mobile_element                          | 0     | 0          |         
         '--Class_I                             | 0     | 0          |         
             '--LTR                             | 0     | 0          | LTR/PBS "	NA	"195"
93	1235	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1     | 0.00081    |         
 '--organelle                                   | 1     | 0.00081    |         
     '--plastid                                 | 1     | 0.00081    |         "	NA	"196"
94	1201	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"197"
95	1197	"NA"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 1     | 0.00084    |              
 '--repeat                                      | 1     | 0.00084    |              
     '--mobile_element                          | 1     | 0.00084    |              
         '--Class_I                             | 1     | 0.00084    |              
             '--LTR                             | 1     | 0.00084    |              
                 '--Ty3_gypsy                   | 1     | 0.00084    |              
                     '--non-chromovirus         | 1     | 0.00084    |              
                         '--OTA                 | 1     | 0.00084    |              
                             '--Athila          | 1     | 0.00084    | 1 (Ty3-GAG), "	NA	"198"
96	1150	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1151  | 1          |         
 |--organelle                                   | 1     | 0.00087    |         
 |   '--plastid                                 | 1     | 0.00087    |         
 '--repeat                                      | 1150  | 1          |         
     '--satellite                               | 1150  | 1          |         "	"199 - Putative satellites (high confidence)"	"199"
97	1116	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1114  | 1          |         
 '--organelle                                   | 1114  | 1          |         
     |--plastid                                 | 1112  | 1          |         
     '--mitochondria                            | 2     | 0.0018     |         "	NA	"200"
98	1093	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"201"
99	1046	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1046  | 1          |         
 '--repeat                                      | 1046  | 1          |         
     '--satellite                               | 1046  | 1          |         "	"202 - Putative satellites (high confidence)"	"202"
100	978	"Angela"	"                                                | nhits | proportion |                                 features
---------------------------------------------------------------------------------------------------------------
All                                             | 68    | 0.07       |                                         
 '--repeat                                      | 68    | 0.07       |                                         
     '--mobile_element                          | 68    | 0.07       |                                         
         '--Class_I                             | 68    | 0.07       |                                         
             '--LTR                             | 68    | 0.07       |                                         
                 |--Ty1_copia                   | 67    | 0.068      |                                         
                 |   '--Angela                  | 67    | 0.068      | 26 (Ty1-INT), 18 (Ty1-RH), 23 (Ty1-RT), 
                 '--Ty3_gypsy                   | 1     | 0.001      |                                         
                     '--non-chromovirus         | 1     | 0.001      |                                         
                         '--OTA                 | 1     | 0.001      |                                         
                             '--Tat             | 1     | 0.001      |                                         
                                 '--Retand      | 1     | 0.001      | 1 (Ty3-RT),                             "	NA	"203"
101	963	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 963   | 1          |         
 '--repeat                                      | 963   | 1          |         
     '--satellite                               | 963   | 1          |         "	"204 - Putative satellites (high confidence)"	"204"
102	940	"LINE"	"                                                | nhits | proportion |                         features
-------------------------------------------------------------------------------------------------------
All                                             | 344   | 0.37       |                                 
 '--repeat                                      | 344   | 0.37       |                                 
     '--mobile_element                          | 344   | 0.37       |                                 
         '--Class_I                             | 344   | 0.37       |                                 
             '--LINE                            | 344   | 0.37       | 126 (LINE-ENDO), 218 (LINE-RT), "	NA	"205"
103	871	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"206"
104	865	"NA"	"                                                | nhits | proportion |                    features
--------------------------------------------------------------------------------------------------
All                                             | 20    | 0.023      |                            
 '--repeat                                      | 20    | 0.023      |                            
     '--mobile_element                          | 20    | 0.023      |                            
         '--Class_I                             | 20    | 0.023      |                            
             '--LTR                             | 20    | 0.023      |                            
                 '--Ty3_gypsy                   | 20    | 0.023      |                            
                     '--chromovirus             | 20    | 0.023      |                            
                         '--Tekay               | 20    | 0.023      | 19 (Ty3-CHD), 1 (Ty3-INT), "	NA	"207"
105	805	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 25    | 0.031      |         
 '--organelle                                   | 25    | 0.031      |         
     '--plastid                                 | 25    | 0.031      |         "	NA	"208"
106	786	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 786   | 1          |         
 '--repeat                                      | 786   | 1          |         
     '--satellite                               | 786   | 1          |         "	"209 - Putative satellites (high confidence)"	"209"
107	783	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 783   | 1          |         
 '--repeat                                      | 783   | 1          |         
     '--satellite                               | 783   | 1          |         "	"210 - Putative satellites (high confidence)"	"210"
108	754	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"211"
109	709	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"212"
110	683	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"213"
111	673	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"214"
112	667	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 667   | 1          |         
 '--repeat                                      | 667   | 1          |         
     '--satellite                               | 667   | 1          |         "	"215 - Putative satellites (high confidence)"	"215"
113	657	"Angela"	"                                                | nhits | proportion |                                    features
------------------------------------------------------------------------------------------------------------------
All                                             | 194   | 0.3        |                                            
 '--repeat                                      | 194   | 0.3        |                                            
     '--mobile_element                          | 194   | 0.3        |                                            
         '--Class_I                             | 194   | 0.3        |                                            
             '--LTR                             | 194   | 0.3        |                                            
                 '--Ty1_copia                   | 194   | 0.3        |                                            
                     '--Angela                  | 194   | 0.3        | 67 (Ty1-GAG), 46 (Ty1-INT), 81 (Ty1-PROT), "	NA	"216"
114	621	"Ale"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 73    | 0.12       |              
 '--repeat                                      | 73    | 0.12       |              
     '--mobile_element                          | 73    | 0.12       |              
         '--Class_I                             | 73    | 0.12       |              
             '--LTR                             | 73    | 0.12       |              
                 '--Ty1_copia                   | 73    | 0.12       |              
                     |--Ale                     | 72    | 0.12       | 72 (Ty1-RH), 
                     '--Ivana                   | 1     | 0.0016     | 1 (Ty1-RH),  "	NA	"217"
115	567	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 567   | 1          |         
 '--organelle                                   | 567   | 1          |         
     |--plastid                                 | 566   | 1          |         
     '--mitochondria                            | 1     | 0.0018     |         "	NA	"218"
116	550	"LINE"	"                                                | nhits | proportion |        features
--------------------------------------------------------------------------------------
All                                             | 276   | 0.5        |                
 '--repeat                                      | 276   | 0.5        |                
     '--mobile_element                          | 276   | 0.5        |                
         '--Class_I                             | 276   | 0.5        |                
             '--LINE                            | 276   | 0.5        | 276 (LINE-RT), "	NA	"219"
117	536	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"220"
118	527	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"221"
119	520	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"222"
120	491	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"223"
121	467	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"224"
122	450	"PIF_Harbinger"	"                                                | nhits | proportion |                features
----------------------------------------------------------------------------------------------
All                                             | 138   | 0.31       |                        
 '--repeat                                      | 138   | 0.31       |                        
     '--mobile_element                          | 138   | 0.31       |                        
         '--Class_II                            | 138   | 0.31       |                        
             '--Subclass_1                      | 138   | 0.31       |                        
                 '--TIR                         | 138   | 0.31       |                        
                     '--PIF_Harbinger           | 138   | 0.31       | 138 (Harbinger-TPase), "	NA	"225"
123	448	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"226"
124	447	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"227"
125	444	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"228"
126	442	"PIF_Harbinger"	"                                                | nhits | proportion |                features
----------------------------------------------------------------------------------------------
All                                             | 129   | 0.29       |                        
 '--repeat                                      | 129   | 0.29       |                        
     '--mobile_element                          | 129   | 0.29       |                        
         '--Class_II                            | 129   | 0.29       |                        
             '--Subclass_1                      | 129   | 0.29       |                        
                 '--TIR                         | 129   | 0.29       |                        
                     '--PIF_Harbinger           | 129   | 0.29       | 129 (Harbinger-TPase), "	NA	"229"
127	437	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"230"
128	412	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"231"
129	402	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 402   | 1          |         
 '--repeat                                      | 402   | 1          |         
     '--satellite                               | 402   | 1          |         "	"232 - Putative satellites (high confidence)"	"232"
130	385	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"233"
131	374	"Ale"	"                                                | nhits | proportion |                    features
--------------------------------------------------------------------------------------------------
All                                             | 257   | 0.69       |                            
 '--repeat                                      | 257   | 0.69       |                            
     '--mobile_element                          | 257   | 0.69       |                            
         '--Class_I                             | 257   | 0.69       |                            
             '--LTR                             | 257   | 0.69       |                            
                 '--Ty1_copia                   | 257   | 0.69       |                            
                     |--Ale                     | 245   | 0.66       | 92 (Ty1-RH), 153 (Ty1-RT), 
                     '--Ivana                   | 12    | 0.032      | 12 (Ty1-RH),               "	NA	"234"
132	373	"LTR"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         
 '--repeat                                      | 0     | 0          |         
     '--mobile_element                          | 0     | 0          |         
         '--Class_I                             | 0     | 0          |         
             '--LTR                             | 0     | 0          | LTR/PBS "	NA	"235"
133	343	"satellite"	"                                                | nhits | proportion |       features
-------------------------------------------------------------------------------------
All                                             | 344   | 1          |               
 '--repeat                                      | 344   | 1          |               
     |--satellite                               | 343   | 1          |               
     '--mobile_element                          | 1     | 0.0029     |               
         '--Class_I                             | 1     | 0.0029     |               
             '--LTR                             | 1     | 0.0029     |               
                 '--Ty1_copia                   | 1     | 0.0029     |               
                     '--Ale                     | 1     | 0.0029     | 1 (Ty1-PROT), "	"236 - Putative satellites (low confidence)"	"236"
134	337	"Ale"	"                                                | nhits | proportion |                       features
-----------------------------------------------------------------------------------------------------
All                                             | 169   | 0.5        |                               
 '--repeat                                      | 169   | 0.5        |                               
     '--mobile_element                          | 169   | 0.5        |                               
         '--Class_I                             | 169   | 0.5        |                               
             '--LTR                             | 169   | 0.5        |                               
                 '--Ty1_copia                   | 169   | 0.5        |                               
                     '--Ale                     | 169   | 0.5        | 146 (Ty1-INT), 23 (Ty1-PROT), "	NA	"237"
135	335	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"238"
136	321	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 321   | 1          |         
 '--repeat                                      | 321   | 1          |         
     '--satellite                               | 321   | 1          |         "	"239 - Putative satellites (high confidence)"	"239"
137	315	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"240"
138	282	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"241"
139	279	"EnSpm_CACTA"	"                                                | nhits | proportion |           features
-----------------------------------------------------------------------------------------
All                                             | 76    | 0.27       |                   
 '--repeat                                      | 76    | 0.27       |                   
     '--mobile_element                          | 76    | 0.27       |                   
         '--Class_II                            | 76    | 0.27       |                   
             '--Subclass_1                      | 76    | 0.27       |                   
                 '--TIR                         | 76    | 0.27       |                   
                     '--EnSpm_CACTA             | 76    | 0.27       | 76 (CACTA-TPase), "	NA	"242"
140	273	"NA"	"                                                | nhits | proportion |       features
-------------------------------------------------------------------------------------
All                                             | 12    | 0.044      |               
 '--repeat                                      | 12    | 0.044      |               
     '--mobile_element                          | 12    | 0.044      |               
         '--Class_I                             | 12    | 0.044      |               
             '--LTR                             | 12    | 0.044      |               
                 '--Ty3_gypsy                   | 12    | 0.044      |               
                     '--non-chromovirus         | 12    | 0.044      |               
                         '--OTA                 | 12    | 0.044      |               
                             '--Tat             | 12    | 0.044      |               
                                 '--Ogre        | 12    | 0.044      | 12 (Ty3-INT), "	NA	"243"
141	266	"MuDR_Mutator"	"                                                | nhits | proportion |          features
----------------------------------------------------------------------------------------
All                                             | 52    | 0.2        |                  
 '--repeat                                      | 52    | 0.2        |                  
     '--mobile_element                          | 52    | 0.2        |                  
         '--Class_II                            | 52    | 0.2        |                  
             '--Subclass_1                      | 52    | 0.2        |                  
                 '--TIR                         | 52    | 0.2        |                  
                     '--MuDR_Mutator            | 52    | 0.2        | 52 (MuDR-TPase), "	NA	"244"
142	264	"satellite"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 265   | 1          |              
 '--repeat                                      | 265   | 1          |              
     |--satellite                               | 264   | 1          |              
     '--mobile_element                          | 1     | 0.0038     |              
         '--Class_I                             | 1     | 0.0038     |              
             '--LTR                             | 1     | 0.0038     |              
                 '--Ty3_gypsy                   | 1     | 0.0038     |              
                     '--non-chromovirus         | 1     | 0.0038     |              
                         '--OTA                 | 1     | 0.0038     |              
                             '--Tat             | 1     | 0.0038     |              
                                 '--Retand      | 1     | 0.0038     | 1 (Ty3-INT), "	"245 - Putative satellites (high confidence)"	"245"
143	243	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"246"
144	243	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"247"
145	241	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"248"
146	238	"Tekay"	"                                                | nhits | proportion |       features
-------------------------------------------------------------------------------------
All                                             | 83    | 0.35       |               
 '--repeat                                      | 83    | 0.35       |               
     '--mobile_element                          | 83    | 0.35       |               
         '--Class_I                             | 83    | 0.35       |               
             '--LTR                             | 83    | 0.35       |               
                 '--Ty3_gypsy                   | 83    | 0.35       |               
                     '--chromovirus             | 83    | 0.35       |               
                         '--Tekay               | 83    | 0.35       | 83 (Ty3-GAG), "	NA	"249"
147	234	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"250"
148	230	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"251"
